item_id,title,img_url,sold,quantity,url,price
582208550089 ,女装 柔软羊仔毛圆领针织衫(长袖) 409953 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01H96Pyz1ewH0VkS71u_!!0-item_pic.jpg,12578,0,//detail.m.tmall.com/item.htm?id=582208550089,149
584403673431 ,女装 长绒摇粒绒拉链茄克(长袖) 408699 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01sV8vcb1ewH0bvk7VU_!!0-item_pic.jpg,28741,0,//detail.m.tmall.com/item.htm?id=584403673431,149
582900149244 ,女装 高级轻型羽绒背心 409111 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01YcnZnn1ewH0uQsbiH_!!0-item_pic.jpg,10448,0,//detail.m.tmall.com/item.htm?id=582900149244,149
583364626586 ,女装 精纺美利奴罗纹两翻领针织衫(长袖) 408716 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN018BwZ9C1ewH0JFbizs_!!0-item_pic.jpg,6895,0,//detail.m.tmall.com/item.htm?id=583364626586,129
584337025771 ,【设计师合作款】女装 运动衫(长袖) 415788 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN016wAjsD1ewH0vhFXDh_!!0-item_pic.jpg,3638,0,//detail.m.tmall.com/item.htm?id=584337025771,249
572738338144 ,女装 高级轻型羽绒便携式茄克 409116 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01a6cRlK1ewH0v4HUEZ_!!0-item_pic.jpg,19211,0,//detail.m.tmall.com/item.htm?id=572738338144,299
580275860967 ,男装 无缝羽绒连帽外套 409330 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01inXcax1ewH0qCpED8_!!0-item_pic.jpg,16782,0,//detail.m.tmall.com/item.htm?id=580275860967,699
572825235152 ,男装 高级轻型羽绒便携式V领背心 409321 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01Dq7phO1ewH0OYNXaW_!!0-item_pic.jpg,11140,0,//detail.m.tmall.com/item.htm?id=572825235152,199
560565349030 ,女装 高级轻型羽绒茄克 400711 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01vRlC3q1ewH0uQinwv_!!0-item_pic.jpg,9132,0,//detail.m.tmall.com/item.htm?id=560565349030,199
584653445270 ,男装 HEATTECH EXTRA WARM圆领T恤(九分袖) 408117 优衣库UNIQLO,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01sVFYok1ewH0wxmTvD_!!0-item_pic.jpg,4089,0,//detail.m.tmall.com/item.htm?id=584653445270,79
